|№   |  Дата/время   | Температура | Осадки (мм)  |
| -- | ------------- | ----------- | ------------ |
|  1 | 00:00 |        7,1 |         0,00 |
|  2 | 01:00 |        6,7 |         0,00 |
|  3 | 02:00 |        6,4 |         0,00 |
|  4 | 03:00 |        6,2 |         0,00 |
|  5 | 04:00 |        6,3 |         0,00 |
|  6 | 05:00 |        6,7 |         0,00 |
|  7 | 06:00 |        8,0 |         0,00 |
|  8 | 07:00 |        9,4 |         0,10 |
|  9 | 08:00 |       11,0 |         0,00 |
| 10 | 09:00 |       12,2 |         0,00 |
| 11 | 10:00 |       14,4 |         0,00 |
| 12 | 11:00 |       16,1 |         0,00 |
| 13 | 12:00 |       16,8 |         0,00 |
| 14 | 13:00 |       16,2 |         0,00 |
| 15 | 14:00 |       16,8 |         0,00 |
| 16 | 15:00 |       16,7 |         0,00 |
| 17 | 16:00 |       16,3 |         0,00 |
| 18 | 17:00 |       16,1 |         0,00 |
| 19 | 18:00 |       15,1 |         0,00 |
| 20 | 19:00 |       13,4 |         0,00 |
| 21 | 20:00 |       12,0 |         0,00 |
| 22 | 21:00 |       11,0 |         0,00 |
| 23 | 22:00 |       10,7 |         0,00 |
| 24 | 23:00 |       10,3 |         0,00 |
